d,n_pow,scew,sigma_total,trans_err,normal_err,c_trans,c_normal
500.0,4.0,1.0,10.0,1275.0000000000014,68500.0,3.1875,34.25
500.0,4.0,1.0,100.0,127499.99999999977,6784000.0,3.1875,3392.0
500.0,4.0,1.0,500.0,3187500.000000003,176128000.0,3.1875,88064.0
500.0,4.0,10.0,1.0,61.99999999999995,31000.0,15.5,15.5
500.0,4.0,10.0,10.0,6200.000000000001,3037500.0,15.5,1518.75
500.0,4.0,10.0,100.0,620000.0000000003,308919000.0,15.5,154459.5
500.0,4.0,10.0,500.0,15499999.99999999,7721259000.0,15.5,3860629.5
500.0,5.0,0.01,1.0,5.1796875,5.18035888671875,1.294921875,0.0025901794433593
500.0,5.0,0.01,10.0,517.96875,516.6015625,1.294921875,0.25830078125
500.0,5.0,0.01,100.0,51796.87500000012,51875.0,1.294921875,25.9375
500.0,5.0,0.01,500.0,1294921.8750000012,1293000.0,1.294921875,646.5
500.0,5.0,0.1,1.0,5.15625,5.2642822265625,1.2890625,0.0026321411132812
500.0,5.0,0.1,10.0,515.6250000000002,529.296875,1.2890625,0.2646484375
500.0,5.0,0.1,100.0,51562.50000000003,52875.0,1.2890625,26.4375
500.0,5.0,0.1,500.0,1289062.4999999993,1316000.0,1.2890625,658.0
500.0,5.0,1.0,1.0,15.12500000000001,812.5,3.78125,0.40625
500.0,5.0,1.0,10.0,1512.5000000000016,84000.0,3.78125,42.0
500.0,5.0,1.0,100.0,151249.99999999974,8960000.0,3.78125,4480.0
500.0,5.0,1.0,500.0,3781250.000000004,219136000.0,3.78125,109568.0
500.0,5.0,10.0,1.0,77.68749999999994,38843.75,19.421875,19.421875
500.0,5.0,10.0,10.0,7768.750000000001,3891437.5,19.421875,1945.71875
500.0,5.0,10.0,100.0,776875.0000000005,389009562.5,19.421875,194504.78125
500.0,5.0,10.0,500.0,19421874.99999999,9723868937.5,19.421875,4861934.46875
500.0,6.0,0.01,1.0,5.31640625,5.31768798828125,1.3291015625,0.0026588439941406
500.0,6.0,0.01,10.0,531.640625,531.73828125,1.3291015625,0.265869140625
500.0,6.0,0.01,100.0,53164.06250000012,53125.0,1.3291015625,26.5625
500.0,6.0,0.01,500.0,1329101.5625000012,1331000.0,1.3291015625,665.5
500.0,6.0,0.1,1.0,5.3359375,5.462646484375,1.333984375,0.0027313232421875
500.0,6.0,0.1,10.0,533.5937500000002,543.45703125,1.333984375,0.271728515625
